country,company,bucket,filing_count
ALL,ASUSTeK Computer Inc.,2021-07-01,24
ALL,ASUSTeK Computer Inc.,2021-08-01,23
ALL,ASUSTeK Computer Inc.,2021-09-01,35
ALL,ASUSTeK Computer Inc.,2021-10-01,13
ALL,ASUSTeK Computer Inc.,2021-11-01,18
ALL,ASUSTeK Computer Inc.,2021-12-01,51
ALL,ASUSTeK Computer Inc.,2022-01-01,31
ALL,ASUSTeK Computer Inc.,2022-02-01,2
ALL,ASUSTeK Computer Inc.,2022-03-01,11
ALL,ASUSTeK Computer Inc.,2022-04-01,8
ALL,ASUSTeK Computer Inc.,2022-05-01,12
ALL,ASUSTeK Computer Inc.,2022-06-01,20
ALL,ASUSTeK Computer Inc.,2022-07-01,22
ALL,ASUSTeK Computer Inc.,2022-08-01,8
ALL,ASUSTeK Computer Inc.,2022-09-01,29
ALL,ASUSTeK Computer Inc.,2022-10-01,11
ALL,ASUSTeK Computer Inc.,2022-11-01,19
ALL,ASUSTeK Computer Inc.,2022-12-01,22
ALL,ASUSTeK Computer Inc.,2023-01-01,7
ALL,ASUSTeK Computer Inc.,2023-02-01,5
ALL,ASUSTeK Computer Inc.,2023-03-01,30
ALL,ASUSTeK Computer Inc.,2023-04-01,22
ALL,ASUSTeK Computer Inc.,2023-05-01,9
ALL,ASUSTeK Computer Inc.,2023-06-01,14
ALL,ASUSTeK Computer Inc.,2023-07-01,19
ALL,ASUSTeK Computer Inc.,2023-08-01,1
ALL,ASUSTeK Computer Inc.,2023-09-01,13
ALL,ASUSTeK Computer Inc.,2023-10-01,9
ALL,ASUSTeK Computer Inc.,2023-11-01,17
ALL,ASUSTeK Computer Inc.,2023-12-01,19
ALL,ASUSTeK Computer Inc.,2024-01-01,4
ALL,ASUSTeK Computer Inc.,2024-02-01,1
ALL,ASUSTeK Computer Inc.,2024-03-01,9
ALL,ASUSTeK Computer Inc.,2024-04-01,3
ALL,ASUSTeK Computer Inc.,2024-05-01,4
ALL,ASUSTeK Computer Inc.,2024-06-01,4
ALL,ASUSTeK Computer Inc.,2024-07-01,47
ALL,ASUSTeK Computer Inc.,2024-08-01,6
ALL,ASUSTeK Computer Inc.,2024-09-01,13
ALL,ASUSTeK Computer Inc.,2024-10-01,10
ALL,ASUSTeK Computer Inc.,2024-11-01,19
ALL,ASUSTeK Computer Inc.,2024-12-01,16
ALL,ASUSTeK Computer Inc.,2025-01-01,25
ALL,ASUSTeK Computer Inc.,2025-02-01,3
ALL,ASUSTeK Computer Inc.,2025-03-01,1
ALL,ASUSTeK Computer Inc.,2025-04-01,1
ALL,ASUSTeK Computer Inc.,2025-05-01,1
ALL,AT&T,1984-03-01,1
ALL,AT&T,1985-03-01,5
ALL,AT&T,1991-11-01,2
ALL,AT&T,1992-09-01,3
ALL,AT&T,1992-11-01,13
ALL,AT&T,1993-07-01,1
ALL,AT&T,1997-08-01,1
ALL,AT&T,1998-08-01,1
ALL,AT&T,2005-12-01,2
ALL,AT&T,2006-04-01,6
ALL,"AT&T Intellectual Property II, LLC",1999-08-01,9
ALL,"AT&T Intellectual Property II, LLC",2000-04-01,1
ALL,"AT&T Intellectual Property II, LLC",2001-02-01,1
ALL,"AT&T Intellectual Property II, LLC",2001-12-01,1
ALL,"AT&T Intellectual Property II, LLC",2004-05-01,1
ALL,"AT&T Intellectual Property II, LLC",2005-02-01,2
ALL,"AT&T Intellectual Property II, LLC",2007-04-01,1
ALL,"AT&T Intellectual Property II, LLC",2007-10-01,3
ALL,"AT&T Intellectual Property II, LLC",2009-05-01,2
ALL,"AT&T Intellectual Property II, LLC",2009-09-01,1
ALL,"AT&T Intellectual Property II, LLC",2010-08-01,1
ALL,"AT&T Intellectual Property II, LLC",2012-05-01,1
ALL,"AT&T Intellectual Property II, LLC",2012-07-01,1
ALL,"AT&T Intellectual Property II, LLC",2014-08-01,1
ALL,"AT&T Intellectual Property II, LLC",2017-03-01,1
ALL,AUMOVIO Germany GmbH,2012-08-01,1
ALL,AUMOVIO Germany GmbH,2013-08-01,5
ALL,AUMOVIO Germany GmbH,2021-05-01,1
ALL,AUMOVIO Germany GmbH,2022-04-01,5
ALL,AUMOVIO Germany GmbH,2022-05-01,6
ALL,AUMOVIO Germany GmbH,2022-06-01,3
ALL,AUMOVIO Germany GmbH,2022-07-01,2
ALL,AUMOVIO Germany GmbH,2022-11-01,1
ALL,AUMOVIO Germany GmbH,2023-04-01,5
ALL,AUMOVIO Germany GmbH,2023-05-01,1
ALL,AUMOVIO Germany GmbH,2023-06-01,4
ALL,AUMOVIO Germany GmbH,2023-07-01,1
ALL,AUMOVIO Germany GmbH,2023-11-01,1
